version,2.3.0
info,balls_per_over,6
info,team,Canada
info,team,Argentina
info,gender,female
info,team_type,international
info,season,2026
info,date,2026/07/30
info,match_id,1544143
info,match_type,T20
info,match_type_number,2942
info,overs,20
info,event,Canada Women tour of Argentina
info,match_number,2
info,venue,"St George's College Ground, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Argentina
info,toss_decision,field
info,player_of_match,C Valencia
info,target_overs,2,20
info,target_runs,2,89
info,winner,Argentina
info,winner_wickets,6
info,player,Canada,A Perera
info,player,Canada,Harper Chalmers
info,player,Canada,Khadeeja Fatima
info,player,Canada,Rabbjyot Rajput
info,player,Canada,Vritti Dahiya
info,player,Canada,K Kapadia
info,player,Canada,Snigdha Malhotra
info,player,Canada,Sanjana Rao
info,player,Canada,Shreya Voya
info,player,Canada,M Hundal
info,player,Canada,Neha Teny
info,player,Argentina,M Castineiras
info,player,Argentina,MV Lehmann
info,player,Argentina,JC Cullen
info,player,Argentina,A Galan
info,player,Argentina,M Bestani
info,player,Argentina,M Lollo
info,player,Argentina,J Andujar
info,player,Argentina,Francesca Galan
info,player,Argentina,V Vasquez
info,player,Argentina,A Emch
info,player,Argentina,C Valencia
info,registry,people,A Emch,24403a9f
info,registry,people,A Galan,ad5165c2
info,registry,people,A Perera,788afc32
info,registry,people,C Valencia,2edff783
info,registry,people,Francesca Galan,ccd38b40
info,registry,people,Harper Chalmers,26c257be
info,registry,people,J Andujar,4c257434
info,registry,people,JC Cullen,22595a2d
info,registry,people,K Kapadia,52fc5577
info,registry,people,Khadeeja Fatima,8292d2e4
info,registry,people,M Bestani,e8045847
info,registry,people,M Castineiras,b9094958
info,registry,people,M Hundal,213dc641
info,registry,people,M Lollo,e6d1f4bb
info,registry,people,MV Lehmann,d2c61d83
info,registry,people,Neha Teny,0b53cf9c
info,registry,people,Rabbjyot Rajput,8b1f5f91
info,registry,people,Sanjana Rao,e65b1ea6
info,registry,people,Shreya Voya,5c8f43ab
info,registry,people,Snigdha Malhotra,aaec928b
info,registry,people,V Vasquez,f898a2c6
info,registry,people,Vritti Dahiya,36b5d84b
