match_id,season,start_date,venue,innings,ball,actual_delivery,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,non_boundary,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,fielder_1,fielder_2,fielder_3
573027,2012/13,2013-02-13,"Brisbane Cricket Ground, Woolloongabba",1,0.1,0.1,West Indies,Australia,CH Gayle,J Charles,CJ McKay,0,0,,,,,,,,,,,,,
573027,2012/13,2013-02-13,"Brisbane Cricket Ground, Woolloongabba",1,0.2,0.2,West Indies,Australia,CH Gayle,J Charles,CJ McKay,1,0,,,,,,,,,,,,,
573027,2012/13,2013-02-13,"Brisbane Cricket Ground, Woolloongabba",1,0.3,0.3,West Indies,Australia,J Charles,CH Gayle,CJ McKay,0,0,,,,,,,,,,,,,
573027,2012/13,2013-02-13,"Brisbane Cricket Ground, Woolloongabba",1,0.4,0.4,West Indies,Australia,J Charles,CH Gayle,CJ McKay,3,0,,,,,,,,,,,,,
573027,2012/13,2013-02-13,"Brisbane Cricket Ground, Woolloongabba",1,0.5,0.5,West Indies,Australia,CH Gayle,J Charles,CJ McKay,0,0,,,,,,,,,,,,,
573027,2012/13,2013-02-13,"Brisbane Cricket Ground, Woolloongabba",1,0.6,0.6,West Indies,Australia,CH Gayle,J Charles,CJ McKay,1,0,,,,,,,,,,,,,
573027,2012/13,2013-02-13,"Brisbane Cricket Ground, Woolloongabba",1,1.1,1.1,West Indies,Australia,CH Gayle,J Charles,JR Hazlewood,0,0,,,,,,,,,,,,,
573027,2012/13,2013-02-13,"Brisbane Cricket Ground, Woolloongabba",1,1.2,1.2,West Indies,Australia,CH Gayle,J Charles,JR Hazlewood,6,0,,,,,,,,,,,,,
573027,2012/13,2013-02-13,"Brisbane Cricket Ground, Woolloongabba",1,1.3,1.3,West Indies,Australia,CH Gayle,J Charles,JR Hazlewood,0,0,,,,,,,caught,CH Gayle,,,NM Coulter-Nile,,
573027,2012/13,2013-02-13,"Brisbane Cricket Ground, Woolloongabba",1,1.4,1.4,West Indies,Australia,J Charles,DM Bravo,JR Hazlewood,1,0,,,,,,,,,,,,,
573027,2012/13,2013-02-13,"Brisbane Cricket Ground, Woolloongabba",1,1.5,1.5,West Indies,Australia,DM Bravo,J Charles,JR Hazlewood,1,0,,,,,,,,,,,,,
573027,2012/13,2013-02-13,"Brisbane Cricket Ground, Woolloongabba",1,1.6,1.6,West Indies,Australia,J Charles,DM Bravo,JR Hazlewood,4,0,,,,,,,,,,,,,
