match_id,season,start_date,venue,innings,ball,actual_delivery,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,non_boundary,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,fielder_1,fielder_2,fielder_3
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,0.1,0.1,Norway,Gibraltar,Raza Iqbal,Khizer Ahmed,BA Pai,0,0,,,,,,,caught,Raza Iqbal,,,C Pyle,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,0.2,0.2,Norway,Gibraltar,Ibrahim Rahimi,Khizer Ahmed,BA Pai,0,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,0.3,0.3,Norway,Gibraltar,Ibrahim Rahimi,Khizer Ahmed,BA Pai,0,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,0.4,0.4,Norway,Gibraltar,Ibrahim Rahimi,Khizer Ahmed,BA Pai,1,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,0.5,0.5,Norway,Gibraltar,Khizer Ahmed,Ibrahim Rahimi,BA Pai,0,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,0.6,0.6,Norway,Gibraltar,Khizer Ahmed,Ibrahim Rahimi,BA Pai,0,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,1.1,1.1,Norway,Gibraltar,Ibrahim Rahimi,Khizer Ahmed,L Bruce,2,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,1.2,1.2,Norway,Gibraltar,Ibrahim Rahimi,Khizer Ahmed,L Bruce,0,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,1.3,1.3,Norway,Gibraltar,Ibrahim Rahimi,Khizer Ahmed,L Bruce,6,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,1.4,1.4,Norway,Gibraltar,Ibrahim Rahimi,Khizer Ahmed,L Bruce,4,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,1.5,1.5,Norway,Gibraltar,Ibrahim Rahimi,Khizer Ahmed,L Bruce,0,1,1,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,1.6,1.5,Norway,Gibraltar,Ibrahim Rahimi,Khizer Ahmed,L Bruce,0,0,,,,,,,caught,Ibrahim Rahimi,,,S Bodha,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,1.7,1.6,Norway,Gibraltar,Mofassar Saeed,Khizer Ahmed,L Bruce,1,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,2.1,2.1,Norway,Gibraltar,Mofassar Saeed,Khizer Ahmed,BA Pai,0,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,2.2,2.2,Norway,Gibraltar,Mofassar Saeed,Khizer Ahmed,BA Pai,0,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,2.3,2.3,Norway,Gibraltar,Mofassar Saeed,Khizer Ahmed,BA Pai,4,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,2.4,2.4,Norway,Gibraltar,Mofassar Saeed,Khizer Ahmed,BA Pai,0,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,2.5,2.5,Norway,Gibraltar,Mofassar Saeed,Khizer Ahmed,BA Pai,0,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,2.6,2.6,Norway,Gibraltar,Mofassar Saeed,Khizer Ahmed,BA Pai,2,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,3.1,3.1,Norway,Gibraltar,Khizer Ahmed,Mofassar Saeed,L Bruce,1,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,3.2,3.2,Norway,Gibraltar,Mofassar Saeed,Khizer Ahmed,L Bruce,0,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,3.3,3.3,Norway,Gibraltar,Mofassar Saeed,Khizer Ahmed,L Bruce,0,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,3.4,3.4,Norway,Gibraltar,Mofassar Saeed,Khizer Ahmed,L Bruce,0,1,1,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,3.5,3.4,Norway,Gibraltar,Mofassar Saeed,Khizer Ahmed,L Bruce,0,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,3.6,3.5,Norway,Gibraltar,Mofassar Saeed,Khizer Ahmed,L Bruce,4,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,3.7,3.6,Norway,Gibraltar,Mofassar Saeed,Khizer Ahmed,L Bruce,2,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,4.1,4.1,Norway,Gibraltar,Khizer Ahmed,Mofassar Saeed,S Bodha,4,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,4.2,4.2,Norway,Gibraltar,Khizer Ahmed,Mofassar Saeed,S Bodha,0,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,4.3,4.3,Norway,Gibraltar,Khizer Ahmed,Mofassar Saeed,S Bodha,0,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,4.4,4.4,Norway,Gibraltar,Khizer Ahmed,Mofassar Saeed,S Bodha,2,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,4.5,4.5,Norway,Gibraltar,Khizer Ahmed,Mofassar Saeed,S Bodha,0,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,4.6,4.6,Norway,Gibraltar,Khizer Ahmed,Mofassar Saeed,S Bodha,4,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,5.1,5.1,Norway,Gibraltar,Mofassar Saeed,Khizer Ahmed,J Horrocks,1,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,5.2,5.2,Norway,Gibraltar,Khizer Ahmed,Mofassar Saeed,J Horrocks,6,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,5.3,5.3,Norway,Gibraltar,Khizer Ahmed,Mofassar Saeed,J Horrocks,0,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,5.4,5.4,Norway,Gibraltar,Khizer Ahmed,Mofassar Saeed,J Horrocks,0,1,1,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,5.5,5.4,Norway,Gibraltar,Khizer Ahmed,Mofassar Saeed,J Horrocks,1,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,5.6,5.5,Norway,Gibraltar,Mofassar Saeed,Khizer Ahmed,J Horrocks,0,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,5.7,5.6,Norway,Gibraltar,Mofassar Saeed,Khizer Ahmed,J Horrocks,2,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,6.1,6.1,Norway,Gibraltar,Khizer Ahmed,Mofassar Saeed,KJ Ferrary,1,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,6.2,6.2,Norway,Gibraltar,Mofassar Saeed,Khizer Ahmed,KJ Ferrary,0,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,6.3,6.3,Norway,Gibraltar,Mofassar Saeed,Khizer Ahmed,KJ Ferrary,0,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,6.4,6.4,Norway,Gibraltar,Mofassar Saeed,Khizer Ahmed,KJ Ferrary,1,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,6.5,6.5,Norway,Gibraltar,Khizer Ahmed,Mofassar Saeed,KJ Ferrary,1,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,6.6,6.6,Norway,Gibraltar,Mofassar Saeed,Khizer Ahmed,KJ Ferrary,0,0,,,,,,,caught,Mofassar Saeed,,,JA Fitzgerald,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,7.1,7.1,Norway,Gibraltar,Khizer Ahmed,Walid Ghauri,J Horrocks,0,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,7.2,7.2,Norway,Gibraltar,Khizer Ahmed,Walid Ghauri,J Horrocks,1,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,7.3,7.3,Norway,Gibraltar,Walid Ghauri,Khizer Ahmed,J Horrocks,1,0,,,,,,,,,,,,,
1439830,2024,2024-07-13,Bayer Uerdingen Cricket Ground,1,7.4,7.4,Norway,Gibraltar,Khizer Ahmed,Walid Ghauri,J Horrocks,2,0,,,,,,,,,,,,,
