version,2.3.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Japan
info,team_type,international
info,gender,female
info,season,2025
info,date,2025/06/04
info,event,Women's T20 Pentangular Series (in Japan)
info,match_id,1485406
info,match_type,T20
info,match_type_number,2329
info,overs,20
info,match_number,3
info,venue,Sano International Cricket Ground
info,city,Sano
info,toss_winner,Japan
info,toss_decision,field
info,player_of_match,KY Chan
info,umpire,Adam Birss
info,umpire,Sagir Parkar
info,target_overs,2,9
info,target_runs,2,87
info,winner,Hong Kong
info,winner_runs,19
info,player,Hong Kong,NT Miles
info,player,Hong Kong,KY Chan
info,player,Hong Kong,M Bibi
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,WK Lai
info,player,Hong Kong,Hiu Ying Cheung
info,player,Hong Kong,M Wai Siu
info,player,Hong Kong,Chan Ka Man
info,player,Hong Kong,K Mahekdeep
info,player,Hong Kong,A Kanwal
info,player,Hong Kong,SYD Chan
info,player,Japan,H Iwasaki
info,player,Japan,A Kato-Stafford
info,player,Japan,M Yanagida
info,player,Japan,A Chandel
info,player,Japan,K Ota
info,player,Japan,Erika Oda
info,player,Japan,H Goto
info,player,Japan,Nonoha Yasumoto
info,player,Japan,A Fujikawa
info,player,Japan,E Toguchi-Quinn
info,player,Japan,Seika Sumi
info,registry,people,A Chandel,78fa5f6d
info,registry,people,A Fujikawa,9543a4fe
info,registry,people,A Kanwal,6c4170b6
info,registry,people,A Kato-Stafford,034e7939
info,registry,people,Adam Birss,0cabf6f4
info,registry,people,Chan Ka Man,c4022bff
info,registry,people,E Toguchi-Quinn,d144423b
info,registry,people,Erika Oda,4c8a1197
info,registry,people,H Goto,b3af5bff
info,registry,people,H Iwasaki,f2698c78
info,registry,people,Hiu Ying Cheung,9efce9fd
info,registry,people,K Mahekdeep,d13c1b74
info,registry,people,K Ota,211f48fe
info,registry,people,KY Chan,6348c6e9
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Wai Siu,74eecff4
info,registry,people,M Yanagida,f20e7e23
info,registry,people,NT Miles,d27d0835
info,registry,people,Nonoha Yasumoto,eb33378d
info,registry,people,SYD Chan,4839b023
info,registry,people,Sagir Parkar,74254300
info,registry,people,Seika Sumi,704b4c30
info,registry,people,WK Lai,6ab99b17
info,registry,people,Y Daswani,2038a273
