version,2.3.0
info,balls_per_over,6
info,team,Bangladesh
info,team,West Indies
info,team_type,international
info,gender,male
info,season,2024/25
info,date,2024/12/12
info,event,Bangladesh tour of West Indies
info,match_id,1433382
info,match_type,ODI
info,match_type_number,4815
info,overs,50
info,match_number,3
info,venue,"Warner Park, Basseterre, St Kitts"
info,city,Basseterre
info,toss_winner,West Indies
info,toss_decision,field
info,player_of_match,AA Jangoo
info,umpire,HDPK Dharmasena
info,umpire,LS Reifer
info,reserve_umpire,GO Brathwaite
info,tv_umpire,Asif Yaqoob
info,match_referee,JJ Crowe
info,target_overs,2,50
info,target_runs,2,322
info,winner,West Indies
info,winner_wickets,4
info,player,Bangladesh,Tanzid Hasan
info,player,Bangladesh,Soumya Sarkar
info,player,Bangladesh,Liton Das
info,player,Bangladesh,Mehedi Hasan Miraz
info,player,Bangladesh,Afif Hossain
info,player,Bangladesh,Mahmudullah
info,player,Bangladesh,Jaker Ali
info,player,Bangladesh,Rishad Hossain
info,player,Bangladesh,Taskin Ahmed
info,player,Bangladesh,Hasan Mahmud
info,player,Bangladesh,Nasum Ahmed
info,player,West Indies,BA King
info,player,West Indies,A Athanaze
info,player,West Indies,KU Carty
info,player,West Indies,SD Hope
info,player,West Indies,SE Rutherford
info,player,West Indies,AA Jangoo
info,player,West Indies,RL Chase
info,player,West Indies,G Motie
info,player,West Indies,R Shepherd
info,player,West Indies,AS Joseph
info,player,West Indies,J Blades
info,registry,people,A Athanaze,58c2fac4
info,registry,people,AA Jangoo,88626ed2
info,registry,people,AS Joseph,b0946605
info,registry,people,Afif Hossain,37138918
info,registry,people,Asif Yaqoob,6b35790c
info,registry,people,BA King,7fca84b7
info,registry,people,G Motie,97bdec3d
info,registry,people,GO Brathwaite,1ace56d4
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,Hasan Mahmud,80ad39ac
info,registry,people,J Blades,af4a9a0a
info,registry,people,JJ Crowe,2e760301
info,registry,people,Jaker Ali,cd56a813
info,registry,people,KU Carty,6020a3c6
info,registry,people,LS Reifer,5dee559a
info,registry,people,Liton Das,0404d43c
info,registry,people,Mahmudullah,bf1d7d3e
info,registry,people,Mehedi Hasan Miraz,c58b0108
info,registry,people,Nasum Ahmed,37654b75
info,registry,people,R Shepherd,c5aef772
info,registry,people,RL Chase,3feda4fa
info,registry,people,Rishad Hossain,5935d694
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,Soumya Sarkar,4d9f9686
info,registry,people,Tanzid Hasan,80fe764d
info,registry,people,Taskin Ahmed,ef18b66e
