match_id,season,start_date,venue,innings,ball,actual_delivery,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,non_boundary,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,fielder_1,fielder_2,fielder_3
297797,2007/08,2007-10-11,Reliance Stadium,1,0.1,0.1,India,Australia,SC Ganguly,SR Tendulkar,B Lee,0,0,,,,,,,,,,,,,
297797,2007/08,2007-10-11,Reliance Stadium,1,0.2,0.2,India,Australia,SC Ganguly,SR Tendulkar,B Lee,0,0,,,,,,,,,,,,,
297797,2007/08,2007-10-11,Reliance Stadium,1,0.3,0.3,India,Australia,SC Ganguly,SR Tendulkar,B Lee,0,1,1,,,,,,,,,,,,
297797,2007/08,2007-10-11,Reliance Stadium,1,0.4,0.3,India,Australia,SC Ganguly,SR Tendulkar,B Lee,0,4,,,4,,,,,,,,,,
297797,2007/08,2007-10-11,Reliance Stadium,1,0.5,0.4,India,Australia,SC Ganguly,SR Tendulkar,B Lee,0,0,,,,,,,run out,SC Ganguly,,,BJ Hodge,AC Gilchrist,
297797,2007/08,2007-10-11,Reliance Stadium,1,0.6,0.5,India,Australia,R Dravid,SR Tendulkar,B Lee,0,0,,,,,,,lbw,R Dravid,,,,,
297797,2007/08,2007-10-11,Reliance Stadium,1,0.7,0.6,India,Australia,Yuvraj Singh,SR Tendulkar,B Lee,0,0,,,,,,,,,,,,,
297797,2007/08,2007-10-11,Reliance Stadium,1,1.1,1.1,India,Australia,SR Tendulkar,Yuvraj Singh,MG Johnson,0,0,,,,,,,,,,,,,
297797,2007/08,2007-10-11,Reliance Stadium,1,1.2,1.2,India,Australia,SR Tendulkar,Yuvraj Singh,MG Johnson,0,0,,,,,,,,,,,,,
297797,2007/08,2007-10-11,Reliance Stadium,1,1.3,1.3,India,Australia,SR Tendulkar,Yuvraj Singh,MG Johnson,0,0,,,,,,,,,,,,,
297797,2007/08,2007-10-11,Reliance Stadium,1,1.4,1.4,India,Australia,SR Tendulkar,Yuvraj Singh,MG Johnson,0,0,,,,,,,,,,,,,
297797,2007/08,2007-10-11,Reliance Stadium,1,1.5,1.5,India,Australia,SR Tendulkar,Yuvraj Singh,MG Johnson,4,0,,,,,,,,,,,,,
297797,2007/08,2007-10-11,Reliance Stadium,1,1.6,1.6,India,Australia,SR Tendulkar,Yuvraj Singh,MG Johnson,0,0,,,,,,,,,,,,,
