version,1.8.0
info,balls_per_over,6
info,team,Mumbai Indians
info,team,Chennai Super Kings
info,team_type,club
info,gender,male
info,season,2014
info,date,2014/05/10
info,event,Indian Premier League
info,match_id,733995
info,match_type,T20
info,overs,20
info,match_number,33
info,venue,Wankhede Stadium
info,city,Mumbai
info,toss_winner,Chennai Super Kings
info,toss_decision,field
info,player_of_match,DR Smith
info,umpire,HDPK Dharmasena
info,umpire,VA Kulkarni
info,reserve_umpire,R Pandit
info,tv_umpire,PG Pathak
info,match_referee,RS Mahanama
info,target_overs,2,20
info,target_runs,2,158
info,winner,Chennai Super Kings
info,winner_wickets,4
info,player,Chennai Super Kings,DR Smith
info,player,Chennai Super Kings,BB McCullum
info,player,Chennai Super Kings,SK Raina
info,player,Chennai Super Kings,F du Plessis
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,M Manhas
info,player,Chennai Super Kings,R Ashwin
info,player,Chennai Super Kings,IC Pandey
info,player,Chennai Super Kings,MM Sharma
info,player,Chennai Super Kings,S Badree
info,player,Mumbai Indians,LMP Simmons
info,player,Mumbai Indians,CM Gautam
info,player,Mumbai Indians,AT Rayudu
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,KA Pollard
info,player,Mumbai Indians,CJ Anderson
info,player,Mumbai Indians,AP Tare
info,player,Mumbai Indians,Harbhajan Singh
info,player,Mumbai Indians,SL Malinga
info,player,Mumbai Indians,JJ Bumrah
info,player,Mumbai Indians,P Kumar
info,registry,people,AP Tare,855a210c
info,registry,people,AT Rayudu,70d205c9
info,registry,people,BB McCullum,b8a55852
info,registry,people,CJ Anderson,8abdf100
info,registry,people,CM Gautam,30a2649b
info,registry,people,DR Smith,35205dfc
info,registry,people,F du Plessis,3355b542
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,Harbhajan Singh,8b5b6769
info,registry,people,IC Pandey,e0407c01
info,registry,people,JJ Bumrah,462411b3
info,registry,people,KA Pollard,a757b0d8
info,registry,people,LMP Simmons,89f64c19
info,registry,people,M Manhas,c42aaf71
info,registry,people,MM Sharma,759ac88f
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,P Kumar,e938e1bc
info,registry,people,PG Pathak,9f772ec5
info,registry,people,R Ashwin,495d42a5
info,registry,people,R Pandit,8a604384
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RG Sharma,740742ef
info,registry,people,RS Mahanama,57910393
info,registry,people,S Badree,76388dc8
info,registry,people,SK Raina,1dc12ab9
info,registry,people,SL Malinga,a12e1d51
info,registry,people,VA Kulkarni,8fe0c4f8
ball,1,0.1,Mumbai Indians,LMP Simmons,CM Gautam,S Badree,0,1,1,,,,,"","",0.1,,,,
ball,1,0.2,Mumbai Indians,LMP Simmons,CM Gautam,S Badree,0,0,,,,,,"","",0.1,,,,
ball,1,0.3,Mumbai Indians,LMP Simmons,CM Gautam,S Badree,1,0,,,,,,"","",0.2,,,,
ball,1,0.4,Mumbai Indians,CM Gautam,LMP Simmons,S Badree,0,0,,,,,,"","",0.3,,,,
ball,1,0.5,Mumbai Indians,CM Gautam,LMP Simmons,S Badree,0,0,,,,,,"","",0.4,,,,
ball,1,0.6,Mumbai Indians,CM Gautam,LMP Simmons,S Badree,1,0,,,,,,"","",0.5,,,,
ball,1,0.7,Mumbai Indians,LMP Simmons,CM Gautam,S Badree,1,0,,,,,,"","",0.6,,,,
ball,1,1.1,Mumbai Indians,LMP Simmons,CM Gautam,IC Pandey,0,0,,,,,,"","",1.1,,,,
ball,1,1.2,Mumbai Indians,LMP Simmons,CM Gautam,IC Pandey,0,0,,,,,,"","",1.2,,,,
ball,1,1.3,Mumbai Indians,LMP Simmons,CM Gautam,IC Pandey,0,0,,,,,,"","",1.3,,,,
ball,1,1.4,Mumbai Indians,LMP Simmons,CM Gautam,IC Pandey,4,0,,,,,,"","",1.4,,,,
ball,1,1.5,Mumbai Indians,LMP Simmons,CM Gautam,IC Pandey,0,0,,,,,,"","",1.5,,,,
ball,1,1.6,Mumbai Indians,LMP Simmons,CM Gautam,IC Pandey,0,0,,,,,,"","",1.6,,,,
ball,1,2.1,Mumbai Indians,CM Gautam,LMP Simmons,S Badree,4,0,,,,,,"","",2.1,,,,
ball,1,2.2,Mumbai Indians,CM Gautam,LMP Simmons,S Badree,0,0,,,,,,"","",2.2,,,,
ball,1,2.3,Mumbai Indians,CM Gautam,LMP Simmons,S Badree,4,0,,,,,,"","",2.3,,,,
ball,1,2.4,Mumbai Indians,CM Gautam,LMP Simmons,S Badree,0,0,,,,,,"","",2.4,,,,
ball,1,2.5,Mumbai Indians,CM Gautam,LMP Simmons,S Badree,0,0,,,,,,caught,CM Gautam,2.5,,BB McCullum,,
ball,1,2.6,Mumbai Indians,AT Rayudu,LMP Simmons,S Badree,0,0,,,,,,"","",2.6,,,,
ball,1,3.1,Mumbai Indians,LMP Simmons,AT Rayudu,IC Pandey,1,0,,,,,,"","",3.1,,,,
ball,1,3.2,Mumbai Indians,AT Rayudu,LMP Simmons,IC Pandey,0,1,1,,,,,"","",3.2,,,,
ball,1,3.3,Mumbai Indians,AT Rayudu,LMP Simmons,IC Pandey,0,0,,,,,,"","",3.2,,,,
ball,1,3.4,Mumbai Indians,AT Rayudu,LMP Simmons,IC Pandey,0,0,,,,,,"","",3.3,,,,
ball,1,3.5,Mumbai Indians,AT Rayudu,LMP Simmons,IC Pandey,0,0,,,,,,"","",3.4,,,,
ball,1,3.6,Mumbai Indians,AT Rayudu,LMP Simmons,IC Pandey,0,0,,,,,,"","",3.5,,,,
ball,1,3.7,Mumbai Indians,AT Rayudu,LMP Simmons,IC Pandey,0,0,,,,,,"","",3.6,,,,
ball,1,4.1,Mumbai Indians,LMP Simmons,AT Rayudu,S Badree,0,0,,,,,,"","",4.1,,,,
ball,1,4.2,Mumbai Indians,LMP Simmons,AT Rayudu,S Badree,6,0,,,,,,"","",4.2,,,,
ball,1,4.3,Mumbai Indians,LMP Simmons,AT Rayudu,S Badree,0,0,,,,,,"","",4.3,,,,
ball,1,4.4,Mumbai Indians,LMP Simmons,AT Rayudu,S Badree,6,0,,,,,,"","",4.4,,,,
ball,1,4.5,Mumbai Indians,LMP Simmons,AT Rayudu,S Badree,1,0,,,,,,"","",4.5,,,,
ball,1,4.6,Mumbai Indians,AT Rayudu,LMP Simmons,S Badree,1,0,,,,,,"","",4.6,,,,
ball,1,5.1,Mumbai Indians,AT Rayudu,LMP Simmons,IC Pandey,4,0,,,,,,"","",5.1,,,,
ball,1,5.2,Mumbai Indians,AT Rayudu,LMP Simmons,IC Pandey,0,0,,,,,,"","",5.2,,,,
ball,1,5.3,Mumbai Indians,AT Rayudu,LMP Simmons,IC Pandey,6,0,,,,,,"","",5.3,,,,
ball,1,5.4,Mumbai Indians,AT Rayudu,LMP Simmons,IC Pandey,0,0,,,,,,"","",5.4,,,,
ball,1,5.5,Mumbai Indians,AT Rayudu,LMP Simmons,IC Pandey,0,0,,,,,,"","",5.5,,,,
ball,1,5.6,Mumbai Indians,AT Rayudu,LMP Simmons,IC Pandey,0,0,,,,,,"","",5.6,,,,
ball,1,6.1,Mumbai Indians,LMP Simmons,AT Rayudu,RA Jadeja,0,0,,,,,,"","",6.1,,,,
ball,1,6.2,Mumbai Indians,LMP Simmons,AT Rayudu,RA Jadeja,4,0,,,,,,"","",6.2,,,,
ball,1,6.3,Mumbai Indians,LMP Simmons,AT Rayudu,RA Jadeja,0,0,,,,,,"","",6.3,,,,
ball,1,6.4,Mumbai Indians,LMP Simmons,AT Rayudu,RA Jadeja,0,0,,,,,,"","",6.4,,,,
ball,1,6.5,Mumbai Indians,LMP Simmons,AT Rayudu,RA Jadeja,0,0,,,,,,"","",6.5,,,,
ball,1,6.6,Mumbai Indians,LMP Simmons,AT Rayudu,RA Jadeja,0,0,,,,,,"","",6.6,,,,
ball,1,7.1,Mumbai Indians,AT Rayudu,LMP Simmons,MM Sharma,1,0,,,,,,"","",7.1,,,,
ball,1,7.2,Mumbai Indians,LMP Simmons,AT Rayudu,MM Sharma,1,0,,,,,,"","",7.2,,,,
ball,1,7.3,Mumbai Indians,AT Rayudu,LMP Simmons,MM Sharma,1,0,,,,,,"","",7.3,,,,
ball,1,7.4,Mumbai Indians,LMP Simmons,AT Rayudu,MM Sharma,0,0,,,,,,"","",7.4,,,,
ball,1,7.5,Mumbai Indians,LMP Simmons,AT Rayudu,MM Sharma,0,0,,,,,,"","",7.5,,,,
ball,1,7.6,Mumbai Indians,LMP Simmons,AT Rayudu,MM Sharma,0,0,,,,,,"","",7.6,,,,
ball,1,8.1,Mumbai Indians,AT Rayudu,LMP Simmons,RA Jadeja,1,0,,,,,,"","",8.1,,,,
ball,1,8.2,Mumbai Indians,LMP Simmons,AT Rayudu,RA Jadeja,2,0,,,,,,"","",8.2,,,,
ball,1,8.3,Mumbai Indians,LMP Simmons,AT Rayudu,RA Jadeja,1,0,,,,,,"","",8.3,,,,
ball,1,8.4,Mumbai Indians,AT Rayudu,LMP Simmons,RA Jadeja,1,0,,,,,,"","",8.4,,,,
ball,1,8.5,Mumbai Indians,LMP Simmons,AT Rayudu,RA Jadeja,0,0,,,,,,"","",8.5,,,,
ball,1,8.6,Mumbai Indians,LMP Simmons,AT Rayudu,RA Jadeja,0,0,,,,,,"","",8.6,,,,
ball,1,9.1,Mumbai Indians,AT Rayudu,LMP Simmons,R Ashwin,0,0,,,,,,"","",9.1,,,,
ball,1,9.2,Mumbai Indians,AT Rayudu,LMP Simmons,R Ashwin,1,0,,,,,,"","",9.2,,,,
ball,1,9.3,Mumbai Indians,LMP Simmons,AT Rayudu,R Ashwin,1,0,,,,,,"","",9.3,,,,
ball,1,9.4,Mumbai Indians,AT Rayudu,LMP Simmons,R Ashwin,1,0,,,,,,"","",9.4,,,,
ball,1,9.5,Mumbai Indians,LMP Simmons,AT Rayudu,R Ashwin,0,0,,,,,,"","",9.5,,,,
ball,1,9.6,Mumbai Indians,LMP Simmons,AT Rayudu,R Ashwin,0,0,,,,,,"","",9.6,,,,
ball,1,10.1,Mumbai Indians,AT Rayudu,LMP Simmons,RA Jadeja,2,0,,,,,,"","",10.1,,,,
ball,1,10.2,Mumbai Indians,AT Rayudu,LMP Simmons,RA Jadeja,6,0,,,,,,"","",10.2,,,,
ball,1,10.3,Mumbai Indians,AT Rayudu,LMP Simmons,RA Jadeja,1,0,,,,,,"","",10.3,,,,
ball,1,10.4,Mumbai Indians,LMP Simmons,AT Rayudu,RA Jadeja,1,0,,,,,,"","",10.4,,,,
