version,1.8.0
info,balls_per_over,6
info,team,Sunrisers Hyderabad
info,team,Rajasthan Royals
info,team_type,club
info,gender,male
info,season,2026
info,date,2026/04/13
info,event,Indian Premier League
info,match_id,1529264
info,match_type,T20
info,overs,20
info,match_number,21
info,venue,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
info,city,Hyderabad
info,toss_winner,Rajasthan Royals
info,toss_decision,field
info,player_of_match,PP Hinge
info,umpire,J Madanagopal
info,umpire,R Pandit
info,reserve_umpire,UV Gandhe
info,tv_umpire,A Bengeri
info,match_referee,J Srinath
info,target_overs,2,20
info,target_runs,2,217
info,winner,Sunrisers Hyderabad
info,winner_runs,57
info,player,Sunrisers Hyderabad,Sakib Hussain
info,player,Sunrisers Hyderabad,Abhishek Sharma
info,player,Sunrisers Hyderabad,TM Head
info,player,Sunrisers Hyderabad,Ishan Kishan
info,player,Sunrisers Hyderabad,H Klaasen
info,player,Sunrisers Hyderabad,Nithish Kumar Reddy
info,player,Sunrisers Hyderabad,S Arora
info,player,Sunrisers Hyderabad,Aniket Verma
info,player,Sunrisers Hyderabad,Harsh Dubey
info,player,Sunrisers Hyderabad,Shivang Kumar
info,player,Sunrisers Hyderabad,PP Hinge
info,player,Sunrisers Hyderabad,E Malinga
info,player,Rajasthan Royals,Sandeep Sharma
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,V Suryavanshi
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,LG Pretorius
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,RA Jadeja
info,player,Rajasthan Royals,D Ferreira
info,player,Rajasthan Royals,JC Archer
info,player,Rajasthan Royals,TU Deshpande
info,player,Rajasthan Royals,Ravi Bishnoi
info,player,Rajasthan Royals,N Burger
info,registry,people,A Bengeri,c109497d
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,Aniket Verma,a3b0600d
info,registry,people,D Ferreira,f0af99a7
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,E Malinga,5750bcb4
info,registry,people,H Klaasen,235c2bb6
info,registry,people,Harsh Dubey,25228673
info,registry,people,Ishan Kishan,752f7486
info,registry,people,J Madanagopal,8275b04a
info,registry,people,J Srinath,bad31fac
info,registry,people,JC Archer,5574750c
info,registry,people,LG Pretorius,60aa2db3
info,registry,people,N Burger,465aa633
info,registry,people,Nithish Kumar Reddy,aad0c365
info,registry,people,PP Hinge,ece7b6b3
info,registry,people,R Pandit,8a604384
info,registry,people,R Parag,04a418e8
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,S Arora,d7423da1
info,registry,people,Sakib Hussain,280fff14
info,registry,people,Sandeep Sharma,ce820073
info,registry,people,Shivang Kumar,7b44eb3e
info,registry,people,TM Head,12b610c2
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,UV Gandhe,43dd4011
info,registry,people,V Suryavanshi,470f446b
info,registry,people,YBK Jaiswal,6c19c6e5
ball,1,0.1,Sunrisers Hyderabad,Abhishek Sharma,TM Head,JC Archer,0,0,,,,,,caught,Abhishek Sharma,0.1,,Ravi Bishnoi,,
ball,1,0.2,Sunrisers Hyderabad,Ishan Kishan,TM Head,JC Archer,0,0,,,,,,"","",0.2,,,,
ball,1,0.3,Sunrisers Hyderabad,Ishan Kishan,TM Head,JC Archer,0,0,,,,,,"","",0.3,,,,
ball,1,0.4,Sunrisers Hyderabad,Ishan Kishan,TM Head,JC Archer,2,0,,,,,,"","",0.4,,,,
ball,1,0.5,Sunrisers Hyderabad,Ishan Kishan,TM Head,JC Archer,0,0,,,,,,"","",0.5,,,,
ball,1,0.6,Sunrisers Hyderabad,Ishan Kishan,TM Head,JC Archer,0,0,,,,,,"","",0.6,,,,
ball,1,1.1,Sunrisers Hyderabad,TM Head,Ishan Kishan,N Burger,0,0,,,,,,"","",1.1,,,,
ball,1,1.2,Sunrisers Hyderabad,TM Head,Ishan Kishan,N Burger,0,0,,,,,,"","",1.2,,,,
ball,1,1.3,Sunrisers Hyderabad,TM Head,Ishan Kishan,N Burger,0,0,,,,,,"","",1.3,,,,
ball,1,1.4,Sunrisers Hyderabad,TM Head,Ishan Kishan,N Burger,4,0,,,,,,"","",1.4,,,,
ball,1,1.5,Sunrisers Hyderabad,TM Head,Ishan Kishan,N Burger,0,0,,,,,,"","",1.5,,,,
ball,1,1.6,Sunrisers Hyderabad,TM Head,Ishan Kishan,N Burger,0,0,,,,,,"","",1.6,,,,
ball,1,2.1,Sunrisers Hyderabad,Ishan Kishan,TM Head,JC Archer,0,0,,,,,,"","",2.1,,,,
ball,1,2.2,Sunrisers Hyderabad,Ishan Kishan,TM Head,JC Archer,4,0,,,,,,"","",2.2,,,,
ball,1,2.3,Sunrisers Hyderabad,Ishan Kishan,TM Head,JC Archer,0,0,,,,,,"","",2.3,,,,
ball,1,2.4,Sunrisers Hyderabad,Ishan Kishan,TM Head,JC Archer,6,0,,,,,,"","",2.4,,,,
ball,1,2.5,Sunrisers Hyderabad,Ishan Kishan,TM Head,JC Archer,0,0,,,,,,"","",2.5,,,,
ball,1,2.6,Sunrisers Hyderabad,Ishan Kishan,TM Head,JC Archer,0,0,,,,,,"","",2.6,,,,
ball,1,3.1,Sunrisers Hyderabad,TM Head,Ishan Kishan,N Burger,4,0,,,,,,"","",3.1,,,,
ball,1,3.2,Sunrisers Hyderabad,TM Head,Ishan Kishan,N Burger,1,0,,,,,,"","",3.2,,,,
ball,1,3.3,Sunrisers Hyderabad,Ishan Kishan,TM Head,N Burger,6,0,,,,,,"","",3.3,,,,
ball,1,3.4,Sunrisers Hyderabad,Ishan Kishan,TM Head,N Burger,1,0,,,,,,"","",3.4,,,,
ball,1,3.5,Sunrisers Hyderabad,TM Head,Ishan Kishan,N Burger,0,0,,,,,,"","",3.5,,,,
ball,1,3.6,Sunrisers Hyderabad,TM Head,Ishan Kishan,N Burger,0,0,,,,,,"","",3.6,,,,
ball,1,4.1,Sunrisers Hyderabad,Ishan Kishan,TM Head,Sandeep Sharma,0,0,,,,,,"","",4.1,,,,
ball,1,4.2,Sunrisers Hyderabad,Ishan Kishan,TM Head,Sandeep Sharma,2,0,,,,,,"","",4.2,,,,
ball,1,4.3,Sunrisers Hyderabad,Ishan Kishan,TM Head,Sandeep Sharma,2,0,,,,,,"","",4.3,,,,
ball,1,4.4,Sunrisers Hyderabad,Ishan Kishan,TM Head,Sandeep Sharma,6,0,,,,,,"","",4.4,,,,
ball,1,4.5,Sunrisers Hyderabad,Ishan Kishan,TM Head,Sandeep Sharma,1,0,,,,,,"","",4.5,,,,
ball,1,4.6,Sunrisers Hyderabad,TM Head,Ishan Kishan,Sandeep Sharma,1,0,,,,,,"","",4.6,,,,
ball,1,5.1,Sunrisers Hyderabad,TM Head,Ishan Kishan,TU Deshpande,1,0,,,,,,"","",5.1,,,,
ball,1,5.2,Sunrisers Hyderabad,Ishan Kishan,TM Head,TU Deshpande,4,0,,,,,,"","",5.2,,,,
ball,1,5.3,Sunrisers Hyderabad,Ishan Kishan,TM Head,TU Deshpande,1,0,,,,,,"","",5.3,,,,
ball,1,5.4,Sunrisers Hyderabad,TM Head,Ishan Kishan,TU Deshpande,0,0,,,,,,"","",5.4,,,,
ball,1,5.5,Sunrisers Hyderabad,TM Head,Ishan Kishan,TU Deshpande,4,0,,,,,,"","",5.5,,,,
ball,1,5.6,Sunrisers Hyderabad,TM Head,Ishan Kishan,TU Deshpande,1,0,,,,,,"","",5.6,,,,
ball,1,6.1,Sunrisers Hyderabad,TM Head,Ishan Kishan,R Parag,1,0,,,,,,"","",6.1,,,,
ball,1,6.2,Sunrisers Hyderabad,Ishan Kishan,TM Head,R Parag,1,0,,,,,,"","",6.2,,,,
ball,1,6.3,Sunrisers Hyderabad,TM Head,Ishan Kishan,R Parag,1,0,,,,,,"","",6.3,,,,
ball,1,6.4,Sunrisers Hyderabad,Ishan Kishan,TM Head,R Parag,1,0,,,,,,"","",6.4,,,,
ball,1,6.5,Sunrisers Hyderabad,TM Head,Ishan Kishan,R Parag,0,0,,,,,,caught,TM Head,6.5,,D Ferreira,,
ball,1,6.6,Sunrisers Hyderabad,H Klaasen,Ishan Kishan,R Parag,1,0,,,,,,"","",6.6,,,,
ball,1,7.1,Sunrisers Hyderabad,H Klaasen,Ishan Kishan,Ravi Bishnoi,1,0,,,,,,"","",7.1,,,,
ball,1,7.2,Sunrisers Hyderabad,Ishan Kishan,H Klaasen,Ravi Bishnoi,1,0,,,,,,"","",7.2,,,,
ball,1,7.3,Sunrisers Hyderabad,H Klaasen,Ishan Kishan,Ravi Bishnoi,1,0,,,,,,"","",7.3,,,,
