version,1.8.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Royal Challengers Bangalore
info,team_type,club
info,gender,male
ball,1,3.5,Rajasthan Royals,RV Uthappa,BA Stokes,I Udana,0,1,1,,,,,"","",3.5,,,,
ball,1,3.6,Rajasthan Royals,RV Uthappa,BA Stokes,I Udana,0,1,1,,,,,"","",3.5,,,,
ball,1,3.7,Rajasthan Royals,RV Uthappa,BA Stokes,I Udana,4,0,,,,,,"","",3.5,,,,
ball,1,3.8,Rajasthan Royals,RV Uthappa,BA Stokes,I Udana,6,0,,,,,,"","",3.6,,,,
ball,1,4.1,Rajasthan Royals,BA Stokes,RV Uthappa,NA Saini,0,0,,,,,,"","",4.1,,,,
ball,1,4.2,Rajasthan Royals,BA Stokes,RV Uthappa,NA Saini,4,0,,,,,,"","",4.2,,,,
ball,1,4.3,Rajasthan Royals,BA Stokes,RV Uthappa,NA Saini,1,0,,,,,,"","",4.3,,,,
ball,1,4.4,Rajasthan Royals,RV Uthappa,BA Stokes,NA Saini,1,0,,,,,,"","",4.4,,,,
ball,1,4.5,Rajasthan Royals,BA Stokes,RV Uthappa,NA Saini,1,0,,,,,,"","",4.5,,,,
ball,1,4.6,Rajasthan Royals,RV Uthappa,BA Stokes,NA Saini,2,0,,,,,,"","",4.6,,,,
ball,1,5.1,Rajasthan Royals,BA Stokes,RV Uthappa,CH Morris,0,1,1,,,,,"","",5.1,,,,
ball,1,5.2,Rajasthan Royals,BA Stokes,RV Uthappa,CH Morris,0,0,,,,,,"","",5.1,,,,
ball,1,5.3,Rajasthan Royals,BA Stokes,RV Uthappa,CH Morris,2,0,,,,,,"","",5.2,,,,
ball,1,5.4,Rajasthan Royals,BA Stokes,RV Uthappa,CH Morris,0,0,,,,,,"","",5.3,,,,
ball,1,5.5,Rajasthan Royals,BA Stokes,RV Uthappa,CH Morris,0,0,,,,,,caught,BA Stokes,5.4,,AB de Villiers,,
ball,1,5.6,Rajasthan Royals,SV Samson,RV Uthappa,CH Morris,1,0,,,,,,"","",5.5,,,,
ball,1,5.7,Rajasthan Royals,RV Uthappa,SV Samson,CH Morris,1,0,,,,,,"","",5.6,,,,
ball,1,6.1,Rajasthan Royals,RV Uthappa,SV Samson,NA Saini,0,0,,,,,,"","",6.1,,,,
